otech2af@client3:~/cctf-g3/attack$ cat reqs.log
[14@07:07:32] T: 129.332268	R: 000
[15@07:07:40] T: 130.338985	R: 000
[16@07:07:48] T: 129.370350	R: 000
[17@07:07:56] T: 130.348170	R: 000
[18@07:08:06] T: 130.338708	R: 000
[19@07:08:14] T: 129.365073	R: 000
[20@07:08:21] T: 129.337305	R: 000
[21@07:08:31] T: 129.381811	R: 000
[22@07:08:40] T: 129.338500	R: 000
[23@07:08:50] T: 129.340982	R: 000
[24@07:08:58] T: 130.354601	R: 000
[25@07:09:07] T: 128.409908	R: 000
[26@07:09:17] T: 129.351393	R: 000
[27@07:09:27] T: 129.343866	R: 000
[28@07:09:34] T: 130.345283	R: 000
[29@07:09:42] T: 130.347729	R: 000
[30@07:09:50] T: 128.339787	R: 000
[31@07:10:00] T: 130.343152	R: 000
[32@07:10:09] T: 129.344673	R: 000
[33@07:10:17] T: 130.324945	R: 000
[34@07:10:27] T: 130.347992	R: 000
[35@07:10:37] T: 129.350884	R: 000
[36@07:10:47] T: 129.341440	R: 000
[37@07:10:57] T: 129.344960	R: 000
[38@07:11:04] T: 130.335754	R: 000
[39@07:11:14] T: 128.353746	R: 000
[40@07:11:22] T: 130.359497	R: 000
[41@07:11:31] T: 129.340680	R: 000
[42@07:11:40] T: 129.370104	R: 000
[43@07:11:48] T: 130.360968	R: 000
[44@07:11:57] T: 129.341696	R: 000
[45@07:12:06] T: 130.329189	R: 000
[46@07:12:14] T: 129.340197	R: 000
[47@07:12:23] T: 130.394933	R: 000
[48@07:12:30] T: 130.356845	R: 000
[49@07:12:40] T: 128.359297	R: 000
[50@07:12:48] T: 129.329725	R: 000
[51@07:12:58] T: 130.339934	R: 000
[52@07:13:06] T: 129.351964	R: 000
[53@07:13:14] T: 129.327607	R: 000
[54@07:13:24] T: 130.352796	R: 000
[55@07:13:32] T: 129.337998	R: 000
[56@07:13:40] T: 129.351255	R: 000
[57@07:13:49] T: 129.336968	R: 000
[58@07:13:59] T: 130.340410	R: 000
[59@07:14:09] T: 130.362627	R: 000
[60@07:14:18] T: 128.354198	R: 000
[61@07:14:26] T: 129.350123	R: 000
[62@07:14:36] T: 130.347842	R: 000
[63@07:14:45] T: 129.360698	R: 000
[64@07:14:55] T: 129.342488	R: 000
[65@07:15:04] T: 128.339284	R: 000
[66@07:15:13] T: 129.365074	R: 000
[67@07:15:21] T: 129.395523	R: 000
[68@07:15:31] T: 130.343380	R: 000
[69@07:15:41] T: 130.349728	R: 000
[70@07:15:50] T: 130.341719	R: 000
[71@07:15:59] T: 130.358387	R: 000
[72@07:16:09] T: 129.329511	R: 000
[73@07:16:17] T: 130.350248	R: 000
[74@07:16:25] T: 128.370965	R: 000
[75@07:16:33] T: 129.355362	R: 000
[76@07:16:43] T: 129.341660	R: 000
[77@07:16:51] T: 129.324308	R: 000
